A/Michigan/15/2014	EPI841438	EPI841439	EPI699814	EPI841441	EPI841434	EPI841440		EPI841434
A/NewJersey/26/2014	EPI552910	EPI552911	EPI552909	EPI552913	EPI552906	EPI552912		EPI552906
A/Fiji/2/2015				EPI636656		EPI636655		
A/SouthAfrica/4639/2016	EPI827266	EPI827267	EPI827265	EPI861614	EPI827262	EPI827268		EPI827262
A/HongKong/7127/2014	EPI718977	EPI718978	EPI718976	EPI718980	EPI718973	EPI718979		EPI718973
A/Wisconsin/66/2015	EPI648033	EPI624326	EPI624324	EPI648036	EPI624321	EPI624327		EPI624321
A/Vietnam/6038/2016	EPI976487	EPI976488	EPI976486	EPI976490	EPI976483	EPI976489		EPI976483
A/Mie/27/2016	EPI855456	EPI855457	EPI855455	EPI854226	EPI855452	EPI854225		EPI855452
A/Vietnam/6145/2016	EPI976417	EPI976418	EPI976416	EPI976420	EPI976413	EPI976419		EPI976413
A/Vietnam/16020/2016	EPI976517	EPI976518	EPI976516	EPI976520	EPI976513	EPI976519		EPI976513
A/Vietnam/6032/2016	EPI976548	EPI976549		EPI976551	EPI976545	EPI976550		EPI976545
A/NordPasDeCalais/2752/2016	EPI840944	EPI840945	EPI840943	EPI840947	EPI840940	EPI840946		EPI840940
A/Paris/2892/2016	EPI861421	EPI861422	EPI861420	EPI861424	EPI861417	EPI861423		EPI861417
A/Finland/653/2016				EPI879385		EPI991188		
A/Finland/654/2016				EPI867905		EPI867931		
A/NordPasDeCalais/2751/2016	EPI840936	EPI840937	EPI840935	EPI840939	EPI840932	EPI840938		EPI840932
A/NordPasDeCalais/2750/2016	EPI840928	EPI840929	EPI840927	EPI840931	EPI840924	EPI840930		EPI840924
A/Temuco/50233/2016	EPI827195	EPI827196	EPI827194	EPI827198	EPI827191	EPI827197		EPI827191
A/Colombia/9773/2016	EPI836464	EPI836465	EPI836463	EPI836467	EPI836460	EPI836466		EPI836460
A/Moscow/CRIE-271/2017				EPI1019987		EPI1019988		
A/Peru/61016/2016	EPI861978	EPI861979	EPI861977	EPI861981	EPI861974	EPI861980		EPI861974
A/AltoHospicio/50992/2016	EPI827210	EPI827211		EPI827213	EPI827207	EPI827212		EPI827207
A/Bolivia/795/2017	EPI1035180	EPI1035181	EPI1035179	EPI1035183	EPI1035176	EPI1035182		EPI1035176
A/Bolivia/1770/2016	EPI862002	EPI862003	EPI862001	EPI862005	EPI861998	EPI862004		EPI861998
A/South-Africa/VW0073/2016				EPI829365		EPI829366		
